latitude,longitude,room_type,accommodates,price,availability_365,review_score,is_entire_home,city
34.08523,-118.27088,Entire home/apt,2,208.0,305,4.7,1,Los Angeles
34.09995,-118.32801,Private room,2,60.0,334,4.66,0,Los Angeles
34.0476258,-118.4346024,Entire home/apt,3,155.0,364,4.75,1,Los Angeles
34.04765319824219,-118.43460083007812,Entire home/apt,3,148.0,340,4.66,1,Los Angeles
34.16466220018493,-118.4641867633941,Private room,2,118.0,276,4.91,0,Los Angeles
33.90041,-118.40844,Entire home/apt,1,230.0,180,5.0,1,Los Angeles
33.83605,-118.38693,Entire home/apt,7,558.0,327,4.99,1,Los Angeles
33.77686,-118.32595,Entire home/apt,5,260.0,355,4.86,1,Los Angeles
34.07537,-118.2562,Private room,1,45.0,292,4.81,0,Los Angeles
34.07036,-118.38114,Entire home/apt,2,174.0,305,4.6,1,Los Angeles
34.00171,-118.46581,Entire home/apt,4,295.0,245,5.0,1,Los Angeles
34.1152,-118.31863,Entire home/apt,8,706.0,89,4.86,1,Los Angeles
34.04245,-118.30607,Entire home/apt,2,170.0,364,4.91,1,Los Angeles
33.99736,-118.46766,Private room,3,128.0,296,4.93,0,Los Angeles
33.95674,-118.4312,Entire home/apt,1,85.0,272,4.71,1,Los Angeles
33.7742,-118.3922,Private room,2,87.0,259,4.79,0,Los Angeles
33.99436,-118.47841,Entire home/apt,10,220.0,201,4.54,1,Los Angeles
33.98435,-118.42873,Entire home/apt,5,196.0,298,4.86,1,Los Angeles
34.17607,-118.37483,Entire home/apt,4,180.0,274,4.71,1,Los Angeles
33.99254,-118.47777,Entire home/apt,6,125.0,365,4.5,1,Los Angeles
33.99266,-118.47685,Entire home/apt,9,150.0,365,4.59,1,Los Angeles
34.17893,-118.13366,Private room,2,86.0,363,4.71,0,Los Angeles
34.02163,-118.45105,Entire home/apt,6,567.0,7,4.96,1,Los Angeles
34.05536,-118.43194,Private room,2,85.0,363,4.78,0,Los Angeles
33.85408,-118.39836,Entire home/apt,15,1499.0,315,4.85,1,Los Angeles
34.04454,-118.88669,Entire home/apt,2,132.0,340,4.97,1,Los Angeles
34.04432,-118.8862,Entire home/apt,4,287.0,329,4.83,1,Los Angeles
34.08025,-118.5981,Entire home/apt,3,247.0,270,4.74,1,Los Angeles
34.05249,-118.39533,Private room,2,119.0,365,5.0,0,Los Angeles
34.09872,-118.372,Entire home/apt,2,230.0,317,4.89,1,Los Angeles
34.0962,-118.61714,Entire home/apt,2,111.0,324,4.67,1,Los Angeles
33.97886,-118.03569,Entire home/apt,8,275.0,255,4.74,1,Los Angeles
34.06791,-118.34731,Entire home/apt,5,160.0,365,4.55,1,Los Angeles
34.07783,-118.2766,Entire home/apt,2,134.0,9,4.91,1,Los Angeles
34.21665,-118.443,Private room,1,41.0,298,4.85,0,Los Angeles
34.07102,-118.26537,Entire home/apt,4,122.0,190,5.0,1,Los Angeles
33.97581,-118.46136,Entire home/apt,5,326.0,365,4.94,1,Los Angeles
34.00383,-118.46579,Entire home/apt,2,90.0,365,4.61,1,Los Angeles
33.99263,-118.46499,Entire home/apt,2,375.0,344,4.95,1,Los Angeles
34.1239814,-118.3775658,Entire home/apt,10,684.0,30,4.85,1,Los Angeles
34.16675,-118.11573,Private room,2,55.0,137,4.67,0,Los Angeles
34.09638,-118.33257,Entire home/apt,5,177.0,178,4.89,1,Los Angeles
